scenario_id,c_timestep,money_distribution_timestep,income_distribution_rule_timestep,growth_rule_timestep,spending_label_timestep,topology_label_timestep,event_large_event_rate_timestep,mean_event_fraction_timestep,propagated_share_total_timestep,event_occupancy_timestep,c_period,money_distribution_period,income_distribution_rule_period,growth_rule_period,spending_label_period,topology_label_period,event_large_event_rate_period,mean_event_fraction_period,propagated_share_total_period,event_occupancy_period
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_both__topo-er_k24,0.1,equal,uniform,preferential_debt,high_both,er_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_both,er_k24,0.0,0.0083333333333333,0.0,0.0416666666666666
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k6,0.1,equal,uniform,preferential_debt,high_both,ba_k6,0.0,0.0083333333333333,0.0,0.0106382978723404,0.1,equal,uniform,preferential_debt,high_both,ba_k6,0.0,0.009322033898305,0.0606060606060606,0.1638888888888889
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k12,0.1,equal,uniform,preferential_debt,high_both,ba_k12,0.0,0.0083333333333333,0.0,0.0135135135135135,0.1,equal,uniform,preferential_debt,high_both,ba_k12,0.0,0.0093567251461988,0.03125,0.1583333333333333
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k24,0.1,equal,uniform,preferential_debt,high_both,ba_k24,0.0,0.0083333333333333,0.0,0.0043103448275862,0.1,equal,uniform,preferential_debt,high_both,ba_k24,0.0,0.0088652482269503,0.02,0.1305555555555555
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_both__topo-sw_k6,0.1,equal,uniform,preferential_debt,high_both,sw_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_both,sw_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_both__topo-sw_k12,0.1,equal,uniform,preferential_debt,high_both,sw_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_both,sw_k12,0.0,0.0083333333333333,0.0,0.0027777777777777
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_both__topo-sw_k24,0.1,equal,uniform,preferential_debt,high_both,sw_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_both,sw_k24,0.0,0.0083333333333333,0.0,0.0111111111111111
c-0p10__money-equal__income-biased__growth-random__spend-low__topo-complete,0.1,equal,biased,random,low,complete,0.0,0.0,0.0,0.0,0.1,equal,biased,random,low,complete,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-biased__growth-random__spend-low__topo-er_k6,0.1,equal,biased,random,low,er_k6,0.0,0.0,0.0,0.0,0.1,equal,biased,random,low,er_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-biased__growth-random__spend-low__topo-er_k12,0.1,equal,biased,random,low,er_k12,0.0,0.0,0.0,0.0,0.1,equal,biased,random,low,er_k12,0.0,0.0,0.0,0.0
