scenario_id,family,n_nodes,period_length_rule,drive_value,size_bin_left,size_bin_right,event_count,mean_size,mean_duration,median_duration,p95_duration
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,19.0,27.0,1323,22.442932728647015,2.248677248677249,2.0,3.0
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,27.0,39.0,1424,31.34129213483146,2.547752808988764,2.0,4.0
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,39.0,56.0,130,41.45384615384615,3.076923076923077,3.0,5.0
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,1.0,2.0,70,1.0,1.0,1.0,1.0
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,2.0,3.0,100,2.0,1.07,1.0,2.0
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,3.0,5.0,180,3.5833333333333335,1.2222222222222223,1.0,2.0
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,5.0,6.0,114,5.0,1.3157894736842106,1.0,2.0
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,6.0,8.0,248,6.528225806451613,1.5806451612903225,2.0,3.0
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,8.0,11.0,482,9.143153526970954,1.7697095435684647,2.0,3.0
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,11.0,15.0,1184,12.774493243243244,2.2863175675675675,2.0,4.0
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,15.0,21.0,2356,17.187181663837013,3.0539049235993208,3.0,5.0
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,21.0,28.0,218,21.76605504587156,4.256880733944954,4.0,7.0
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,1.0,2.0,38,1.0,1.0,1.0,1.0
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,2.0,3.0,39,2.0,1.0256410256410255,1.0,1.0
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,3.0,4.0,49,3.0,1.1020408163265305,1.0,2.0
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,4.0,5.0,38,4.0,1.3157894736842106,1.0,2.0
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,5.0,8.0,136,5.889705882352941,1.411764705882353,1.0,2.0
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,8.0,11.0,151,8.986754966887418,1.6754966887417218,2.0,3.0
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,11.0,15.0,233,12.71244635193133,2.0128755364806867,2.0,3.0
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,15.0,21.0,798,18.021303258145362,2.6779448621553885,2.0,4.0
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,21.0,29.0,2955,24.6917089678511,4.001015228426396,4.0,6.0
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,29.0,41.0,543,30.233885819521177,5.208103130755064,5.0,8.0
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,1.0,2.0,64,1.0,1.0,1.0,1.0
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,2.0,3.0,59,2.0,1.0508474576271187,1.0,1.0999999999999943
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,3.0,5.0,151,3.5099337748344372,1.185430463576159,1.0,2.0
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,5.0,6.0,77,5.0,1.2987012987012987,1.0,2.0
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,6.0,9.0,322,7.074534161490683,1.5217391304347827,1.0,3.0
