scenario_id,family,n_nodes,period_length_rule,drive_value,runs,time_window,period_count,event_count,avalanche_period_occupancy,mean_event_size,large_event_rate,mean_duration_generations,mean_weighted_branching,mean_credit_before,mean_credit_after
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,20,Q3,1200,1200,1.0,25.920833333333334,0.0,2.3575,0.13423589926913645,2328.474166666667,2267.7083333333335
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,20,Q4,1200,1200,1.0,31.139166666666668,0.0025,2.4775,0.1544800813825086,2048.6633333333334,1987.5633333333333
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,20,post_Q1_burn_in,3600,3600,1.0,25.0225,0.0008333333333333334,2.2983333333333333,0.13487937651485235,2268.380833333333,2209.7136111111113
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,5,Q1,1250,1202,0.9616,7.116472545757071,0.0008319467554076539,1.600665557404326,0.11996249586244073,775.3893510815308,757.5074875207987
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,5,Q2,1250,1250,1.0,13.9136,0.0488,2.3368,0.21994397349319142,566.8928,545.7048
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,5,Q3,1250,1250,1.0,16.2776,0.1144,2.876,0.32662959087561455,319.0112,298.196
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,5,Q4,1250,1250,1.0,17.2648,0.1984,3.3456,0.41806706844732416,181.9224,161.5144
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,5,post_Q1_burn_in,3750,3750,1.0,15.818666666666667,0.12053333333333334,2.8528,0.3215468776053767,355.94213333333335,335.1384
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,5,Q1,1250,1230,0.984,12.886178861788618,0.16504065040650406,1.9926829268292683,0.15062124979190405,778.4983739837398,750.2040650406504
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,5,Q2,1250,1250,1.0,23.3832,0.8672,3.2808,0.35968730306854807,324.4384,292.832
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,5,Q3,1250,1250,1.0,25.5216,0.9624,4.2568,0.5146488057749508,130.284,100.036
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,5,Q4,1250,1250,1.0,25.8528,0.9664,4.8088,0.5782617851324293,96.44,66.3392
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,5,post_Q1_burn_in,3750,3750,1.0,24.9192,0.932,4.115466666666666,0.4841992979919761,183.7208,153.06906666666666
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,5,Q1,1250,1229,0.9832,8.193653376729047,0.0024410089503661514,1.6737184703010577,0.12277022148884922,885.9039869812856,865.2766476810415
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,5,Q2,1250,1250,1.0,15.456,0.1432,2.4744,0.23202716844753185,559.5184,535.968
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,5,Q3,1250,1250,1.0,17.5376,0.2704,3.052,0.35430977870653896,250.0568,228.2952
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,5,Q4,1250,1250,1.0,17.9608,0.2904,3.3832,0.4205708351603228,155.9848,135.0952
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,5,post_Q1_burn_in,3750,3750,1.0,16.9848,0.23466666666666666,2.969866666666667,0.3356359274381312,321.85333333333335,299.78613333333334
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,5,Q1,1250,1245,0.996,10.760642570281124,0.036947791164658635,1.8650602409638555,0.1419333556089869,816.0546184738956,791.6329317269076
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,5,Q2,1250,1250,1.0,18.5272,0.38,2.76,0.2928098690578203,377.6488,351.8944
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,5,Q3,1250,1250,1.0,19.8824,0.5792,3.5144,0.42877771110190444,168.5128,144.9824
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,5,Q4,1250,1250,1.0,19.88,0.568,3.7416,0.46973955929444694,151.7864,128.824
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,5,post_Q1_burn_in,3750,3750,1.0,19.429866666666666,0.5090666666666667,3.3386666666666667,0.3971090464847239,232.64933333333335,208.56693333333334
