family,scenario_id,scenario_index,run_index,seed,n_nodes,money_distribution,control_name,control_value,edge_window_periods,window,period_count,event_count,avalanche_occupancy,one_period_wait_fraction,size_lag1_correlation,mean_event_size,median_event_size,p90_event_size,p99_event_size,max_event_size,large_event_count,large_event_rate,mean_initial_default_count,mean_propagated_default_count,propagated_default_share,single_initial_default_fraction,mean_active_credit,mean_final_net_worth_gini,mean_period_length_steps,mean_issued_credit,mean_total_income,first_active_credit,last_active_credit,first_gini,last_gini,unique_default_nodes_in_window,total_default_occurrences_in_window,repeated_default_occurrences_in_window,repeated_default_share_in_window
income,income__N200__c0p50__lognormal__biased__random,2,7,2026920007,200,lognormal,c,0.5,240,early,240,240,1.0,1.0,0.4714379900600576,45.4375,46.0,54.0,59.0,60,237,0.9875,26.966666666666665,18.470833333333335,0.4065107748739111,0.0,443.54583333333335,0.921040481520499,81.65416666666667,81.65416666666667,159.62916666666666,431,230,0.6051843560705821,0.9726402422965501,189,10905,10716,0.9826685006877579
income,income__N200__c0p50__lognormal__biased__random,2,7,2026920007,200,lognormal,c,0.5,240,late,240,240,1.0,1.0,-0.22008637282802496,44.15,45.0,50.0,58.21999999999997,62,240,1.0,13.166666666666666,30.983333333333334,0.7017742544356361,0.0,42.36666666666667,0.9905766943200778,56.31666666666667,56.31666666666667,112.56666666666666,30,38,0.9904543060310773,0.9907124045298921,198,10596,10398,0.9813137032842583
income,income__N200__c0p50__pareto__biased__random,3,0,2026930000,200,pareto,c,0.5,240,early,240,238,0.9916666666666667,0.9957805907172996,0.7713702796397383,45.32773109243698,47.0,55.0,62.0,67,226,0.9495798319327731,23.147058823529413,22.180672268907564,0.48934000741564704,0.0,358.40416666666664,0.9438245729166664,82.10833333333333,82.10833333333333,160.525,500,27,0.4558850000000001,0.9934875000000001,197,10788,10591,0.9817389692250649
income,income__N200__c0p50__pareto__biased__random,3,0,2026930000,200,pareto,c,0.5,240,late,240,240,1.0,1.0,-0.20411590492752885,44.74166666666667,45.0,51.0,56.0,57,240,1.0,10.65,34.09166666666667,0.7619668467126094,0.0,6.595833333333333,0.9949290625000023,56.80416666666667,56.80416666666667,113.64166666666667,0,16,0.9949450000000002,0.9949475000000001,199,10738,10539,0.9814676848575153
income,income__N200__c0p50__pareto__biased__random,3,1,2026930001,200,pareto,c,0.5,240,early,240,238,0.9916666666666667,1.0,0.7213462098941921,44.84453781512605,47.0,54.0,59.0,60,224,0.9411764705882353,21.823529411764707,23.021008403361346,0.5133514475780006,0.0,293.37083333333334,0.9490835732765812,80.92083333333333,80.92083333333333,158.18333333333334,500,9,0.44143715573360054,0.9944792188282425,198,10673,10475,0.9814485149442519
income,income__N200__c0p50__pareto__biased__random,3,1,2026930001,200,pareto,c,0.5,240,late,240,240,1.0,1.0,-0.24418522968872838,45.0125,45.0,52.0,57.609999999999985,60,240,1.0,10.591666666666667,34.420833333333334,0.7646949921318152,0.0,5.929166666666666,0.9949364567684865,56.6875,56.6875,113.37083333333334,6,0,0.9949474211316978,0.9949849774661994,199,10803,10604,0.9815791909654725
income,income__N200__c0p50__pareto__biased__random,3,2,2026930002,200,pareto,c,0.5,240,early,240,236,0.9833333333333333,0.9957446808510638,0.8142638212875513,45.389830508474574,48.0,56.0,60.0,65,220,0.9322033898305084,26.14830508474576,19.241525423728813,0.42391710231516055,0.00423728813559322,558.6041666666666,0.9058193784392198,88.35,88.35,173.13333333333333,500,257,0.36883441720860444,0.978759379689845,190,10712,10522,0.9822628827483196
income,income__N200__c0p50__pareto__biased__random,3,2,2026930002,200,pareto,c,0.5,240,late,240,240,1.0,1.0,-0.17742761269010218,46.295833333333334,47.0,52.0,58.609999999999985,60,240,1.0,13.566666666666666,32.729166666666664,0.7069570695706957,0.0,58.03333333333333,0.9924623353343339,59.141666666666666,59.141666666666666,118.3375,61,75,0.9918209104552278,0.9932516258129065,198,11111,10913,0.982179821798218
income,income__N200__c0p50__pareto__biased__random,3,3,2026930003,200,pareto,c,0.5,240,early,240,237,0.9875,1.0,0.8136594021422462,44.949367088607595,48.0,54.400000000000006,61.0,63,221,0.9324894514767933,23.223628691983123,21.72573839662447,0.4833380268468976,0.0,410.5625,0.9352509467332504,84.075,84.075,164.45833333333334,500,50,0.4052821473158552,0.9921985018726593,196,10653,10457,0.9816014268281236
income,income__N200__c0p50__pareto__biased__random,3,3,2026930003,200,pareto,c,0.5,240,late,240,240,1.0,1.0,-0.23667903487518957,44.25416666666667,44.0,51.0,59.0,65,240,1.0,10.558333333333334,33.69583333333333,0.7614160625176537,0.0,7.579166666666667,0.994932781939244,56.69166666666667,56.69166666666667,113.44166666666666,8,4,0.9949101123595507,0.9949625468164796,199,10621,10422,0.9812635345071086
income,income__N200__c0p50__pareto__biased__random,3,4,2026930004,200,pareto,c,0.5,240,early,240,239,0.9958333333333333,1.0,0.5710440124451741,45.63179916317991,47.0,54.0,59.620000000000005,62,233,0.9748953974895398,18.606694560669457,27.02510460251046,0.5922428021272694,0.0,151.025,0.9716981143856144,74.85,74.85,146.06666666666666,500,13,0.5505794205794208,0.9949075924075925,198,10906,10708,0.9818448560425453
income,income__N200__c0p50__pareto__biased__random,3,4,2026930004,200,pareto,c,0.5,240,late,240,240,1.0,1.0,-0.2614014197231375,44.854166666666664,45.0,52.0,57.0,61,240,1.0,10.85,34.00416666666667,0.7581049698095681,0.0,6.3625,0.9949363136863112,56.8,56.8,113.60833333333333,1,21,0.994985014985015,0.9949275724275726,199,10765,10566,0.9815141662796099
income,income__N200__c0p50__pareto__biased__random,3,5,2026930005,200,pareto,c,0.5,240,early,240,238,0.9916666666666667,1.0,0.8167351357400731,44.134453781512605,48.0,56.0,60.0,66,221,0.9285714285714286,25.23109243697479,18.903361344537814,0.4283130236100533,0.004201680672268907,591.5791666666667,0.900548532849152,88.08333333333333,88.08333333333333,172.54583333333332,500,196,0.35128850488354635,0.972152516904583,191,10504,10313,0.9818164508758568
income,income__N200__c0p50__pareto__biased__random,3,5,2026930005,200,pareto,c,0.5,240,late,240,240,1.0,1.0,-0.30044520304471023,45.7875,46.0,53.0,58.829999999999956,63,240,1.0,13.3,32.4875,0.7095277095277095,0.0,53.35,0.9922693880958339,58.9625,58.9625,118.0,52,61,0.9917643375907841,0.9929739544202356,198,10989,10791,0.9819819819819819
income,income__N200__c0p50__pareto__biased__random,3,6,2026930006,200,pareto,c,0.5,240,early,240,237,0.9875,1.0,0.8030645827685007,44.67088607594937,48.0,55.0,60.0,61,221,0.9324894514767933,21.172995780590718,23.49789029535865,0.5260224804004912,0.004219409282700422,350.55,0.9425044527673747,81.52083333333333,81.52083333333333,159.375,500,41,0.40071285892634223,0.9940012484394507,197,10587,10390,0.9813922735430245
income,income__N200__c0p50__pareto__biased__random,3,6,2026930006,200,pareto,c,0.5,240,late,240,240,1.0,1.0,-0.23643056521415318,44.6,45.0,51.0,57.609999999999985,60,240,1.0,10.595833333333333,34.00416666666667,0.7624252615844545,0.0,7.216666666666667,0.9949328443612168,56.80416666666667,56.80416666666667,113.64166666666667,5,3,0.9949300873907616,0.9949475655430713,199,10704,10505,0.9814088191330343
income,income__N200__c0p50__pareto__biased__random,3,7,2026930007,200,pareto,c,0.5,240,early,240,239,0.9958333333333333,1.0,0.7174482877809989,45.35983263598327,47.0,55.0,59.0,61,228,0.9539748953974896,20.209205020920503,25.15062761506276,0.554469144912831,0.0,220.25833333333333,0.9612525423022421,77.92916666666666,77.92916666666666,152.2,500,32,0.5007314328582146,0.9936371592898225,197,10841,10644,0.9818282446268795
income,income__N200__c0p50__pareto__biased__random,3,7,2026930007,200,pareto,c,0.5,240,late,240,240,1.0,1.0,-0.29423166896114655,44.775,45.0,51.0,55.0,56,240,1.0,10.55,34.225,0.7643774427694026,0.0,8.016666666666667,0.99492882595649,56.80416666666667,56.80416666666667,113.50416666666666,9,6,0.9949849962490624,0.9948024506126534,199,10746,10547,0.9814814814814815
income,income__N200__c0p80__lognormal__biased__random,4,0,2026940000,200,lognormal,c,0.8,240,early,240,240,1.0,1.0,0.237133360112318,66.5,67.0,76.1,82.60999999999999,84,239,0.9958333333333333,27.925,38.575,0.5800751879699249,0.0,203.28333333333333,0.961583530805687,124.6,124.6,152.03333333333333,633,80,0.6282938388625594,0.9816469194312798,196,15960,15764,0.987719298245614
income,income__N200__c0p80__lognormal__biased__random,4,0,2026940000,200,lognormal,c,0.8,240,late,240,240,1.0,1.0,-0.18988682230162077,57.93333333333333,58.0,64.0,70.0,74,240,1.0,12.075,45.858333333333334,0.7915707710011507,0.0,7.3125,0.9949197645142162,80.15,80.15,100.1625,9,3,0.9949377962085308,0.9949703791469195,199,13904,13705,0.9856875719217492
income,income__N200__c0p80__lognormal__biased__random,4,1,2026940001,200,lognormal,c,0.8,240,early,240,240,1.0,1.0,0.45722560892265524,69.44583333333334,70.0,80.0,85.0,88,240,1.0,27.729166666666668,41.71666666666667,0.6007079858402832,0.0,183.2,0.9714486493714892,132.95,132.95,162.46666666666667,617,29,0.6141147365605779,0.9948529018454133,199,16667,16468,0.9880602387952241
income,income__N200__c0p80__lognormal__biased__random,4,1,2026940001,200,lognormal,c,0.8,240,late,240,240,1.0,1.0,-0.05044344906365956,62.36666666666667,63.0,70.0,73.60999999999999,77,240,1.0,12.65,49.71666666666667,0.7971672902191341,0.0,7.425,0.9949237541232051,87.94583333333334,87.94583333333334,109.94583333333334,6,0,0.9948529018454133,0.9949251136667558,199,14968,14769,0.9867049706039551
income,income__N200__c0p80__lognormal__biased__random,4,2,2026940002,200,lognormal,c,0.8,240,early,240,240,1.0,1.0,0.3083046284163159,72.55,73.0,82.0,86.0,87,240,1.0,32.608333333333334,39.94166666666667,0.5505398575694923,0.0,284.62083333333334,0.9540822498029946,144.3,144.3,176.76666666666668,611,130,0.6183806146572106,0.9828224323614396,195,17412,17217,0.9888008270158511
income,income__N200__c0p80__lognormal__biased__random,4,2,2026940002,200,lognormal,c,0.8,240,late,240,240,1.0,1.0,-0.1870372806569359,62.96666666666667,63.0,70.0,74.60999999999999,76,240,1.0,12.766666666666667,50.2,0.7972472207517205,0.0,7.633333333333334,0.9949272064617818,89.63333333333334,89.63333333333334,112.03333333333333,3,1,0.9949264512739691,0.9949605988967691,199,15112,14913,0.9868316569613552
income,income__N200__c0p80__lognormal__biased__random,4,3,2026940003,200,lognormal,c,0.8,240,early,240,240,1.0,1.0,0.23955321438657273,69.52916666666667,70.0,80.0,88.60999999999999,93,240,1.0,26.716666666666665,42.8125,0.6157487864804938,0.0,136.39166666666668,0.9744122568973308,128.15416666666667,128.15416666666667,156.48333333333332,631,16,0.6455780189959295,0.9930000000000001,198,16687,16489,0.988134475939354
income,income__N200__c0p80__lognormal__biased__random,4,3,2026940003,200,lognormal,c,0.8,240,late,240,240,1.0,1.0,-0.11606328625241603,61.6625,62.0,69.0,75.0,79,240,1.0,12.504166666666666,49.15833333333333,0.7972160281100075,0.0,7.858333333333333,0.9949299864314806,86.82916666666667,86.82916666666667,108.52916666666667,19,4,0.9948181818181818,0.9949728629579377,199,14799,14600,0.9865531454828029
income,income__N200__c0p80__lognormal__biased__random,4,4,2026940004,200,lognormal,c,0.8,240,early,240,240,1.0,1.0,0.3378164649929272,74.49583333333334,75.0,82.0,91.82999999999996,99,239,0.9958333333333333,32.65,41.84583333333333,0.5617204541641031,0.0,272.9166666666667,0.9570268520838561,147.93333333333334,147.93333333333334,181.3375,631,123,0.6112841393134554,0.981672513154598,195,17879,17684,0.9890933497399184
income,income__N200__c0p80__lognormal__biased__random,4,4,2026940004,200,lognormal,c,0.8,240,late,240,240,1.0,1.0,-0.1882217121863472,64.92083333333333,65.0,73.0,77.0,79,240,1.0,12.833333333333334,52.0875,0.8023233425325718,0.0,7.075,0.9949337989643369,93.24583333333334,93.24583333333334,116.55,21,7,0.9948321222751191,0.9948872463041845,199,15581,15382,0.98722803414415
income,income__N200__c0p80__lognormal__biased__random,4,5,2026940005,200,lognormal,c,0.8,240,early,240,240,1.0,1.0,0.28606941878414843,73.65416666666667,74.0,82.1,88.60999999999999,97,240,1.0,29.866666666666667,43.7875,0.5945013294110991,0.0,183.27916666666667,0.968694458302154,141.70416666666668,141.70416666666668,173.475,546,42,0.6210962833624347,0.990123472187578,197,17677,17480,0.9888555750410137
