family,scenario_id,scenario_index,run_index,seed,n_nodes,money_distribution,control_name,control_value,time_bin,period_count,event_count,avalanche_occupancy,one_period_wait_fraction,size_lag1_correlation,mean_event_size,median_event_size,p90_event_size,p99_event_size,max_event_size,large_event_count,large_event_rate,mean_initial_default_count,mean_propagated_default_count,propagated_default_share,single_initial_default_fraction,mean_active_credit,mean_final_net_worth_gini,mean_period_length_steps,mean_issued_credit,mean_total_income,first_active_credit,last_active_credit,first_gini,last_gini,unique_default_nodes_in_window,total_default_occurrences_in_window,repeated_default_occurrences_in_window,repeated_default_share_in_window
income,income__N200__c0p80__pareto__biased__random,5,1,2026950001,200,pareto,c,0.8,5,120,120,1.0,1.0,-0.1853347848183963,66.68333333333334,66.5,74.0,79.81,80,120,1.0,14.841666666666667,51.84166666666667,0.7774306423394152,0.0,19.816666666666666,0.9947808703611251,96.23333333333333,96.23333333333333,120.275,60,11,0.9941462805791315,0.9949475786320521,199,8002,7803,0.9751312171957011
income,income__N200__c0p80__pareto__biased__random,5,1,2026950001,200,pareto,c,0.8,6,120,120,1.0,1.0,-0.16941411371256906,65.86666666666666,65.5,75.10000000000001,78.81,80,120,1.0,12.841666666666667,53.025,0.8050354251012146,0.0,7.258333333333334,0.9949403810950243,93.68333333333334,93.68333333333334,117.14166666666667,11,3,0.9949301048427359,0.9949475786320521,199,7904,7705,0.9748228744939271
income,income__N200__c0p80__pareto__biased__random,5,1,2026950001,200,pareto,c,0.8,7,120,120,1.0,1.0,-0.19942641171227493,64.90833333333333,65.0,73.0,77.62,85,120,1.0,13.275,51.63333333333333,0.7954808062652459,0.0,9.366666666666667,0.994922096022633,94.125,94.125,117.55,2,10,0.9949301048427359,0.9947728407388918,199,7789,7590,0.9744511490563615
income,income__N200__c0p80__pareto__biased__random,5,1,2026950001,200,pareto,c,0.8,8,120,120,1.0,1.0,-0.1777310800680817,65.16666666666667,65.0,73.0,79.0,79,120,1.0,12.95,52.21666666666667,0.8012787723785166,0.0,7.833333333333333,0.9949339532368117,93.88333333333334,93.88333333333334,117.41666666666667,2,0,0.9949750374438344,0.9949301048427359,199,7820,7621,0.9745524296675192
income,income__N200__c0p80__pareto__biased__random,5,1,2026950001,200,pareto,c,0.8,9,120,120,1.0,1.0,-0.25645795999696164,64.1,64.0,71.0,75.0,78,120,1.0,12.825,51.275,0.7999219968798752,0.0,9.041666666666666,0.9949276917956401,93.725,93.725,117.13333333333334,5,1,0.9949475786320521,0.9949625561657516,199,7692,7493,0.9741289651586064
income,income__N200__c0p80__pareto__biased__random,5,1,2026950001,200,pareto,c,0.8,10,120,120,1.0,1.0,-0.13461004969078275,66.1,65.5,73.0,77.81,85,120,1.0,12.966666666666667,53.13333333333333,0.8038325769036813,0.0,6.05,0.9949414420036612,93.69166666666666,93.69166666666666,117.05833333333334,7,3,0.9949475786320521,0.9948876684972543,199,7932,7733,0.9749117498739284
income,income__N200__c0p80__pareto__biased__random,5,2,2026950002,200,pareto,c,0.8,1,120,120,1.0,1.0,0.5600853523962391,72.7,72.0,82.0,107.29000000000002,112,119,0.9916666666666667,27.025,45.675,0.6282668500687758,0.0,99.73333333333333,0.9808456605030815,145.96666666666667,145.96666666666667,175.2,712,23,0.7159345327336333,0.9914217891054473,197,8724,8527,0.9774186153140761
income,income__N200__c0p80__pareto__biased__random,5,2,2026950002,200,pareto,c,0.8,2,120,120,1.0,1.0,-0.3050778829307094,68.19166666666666,69.0,76.0,85.43,89,120,1.0,18.5,49.69166666666667,0.7287058535989246,0.0,39.03333333333333,0.9932052098950525,101.73333333333333,101.73333333333333,127.10833333333333,26,46,0.9914717641179411,0.9944952523738133,197,8183,7986,0.9759256996211658
income,income__N200__c0p80__pareto__biased__random,5,2,2026950002,200,pareto,c,0.8,3,120,120,1.0,1.0,-0.15530716501757802,64.55,65.0,72.0,78.81,81,120,1.0,13.483333333333333,51.06666666666667,0.7911179963852311,0.0,15.625,0.994873084291188,94.45833333333333,94.45833333333333,118.1,52,3,0.9944277861069466,0.9949850074962521,199,7746,7547,0.9743093209398399
income,income__N200__c0p80__pareto__biased__random,5,2,2026950002,200,pareto,c,0.8,4,120,120,1.0,1.0,-0.02451298255838661,64.51666666666667,65.0,72.0,74.0,79,120,1.0,12.6,51.916666666666664,0.8047016274864376,0.0,7.466666666666667,0.9949343453273362,93.46666666666667,93.46666666666667,116.875,7,4,0.9948625687156423,0.9948875562218891,199,7742,7543,0.9742960475329372
