scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
stage2__c-0p600__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.6,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,234748.04166666666,195.70833333333334,4697,195.70833333333334,0.8154513888888889,0.021715988929103685,3.8341494571002768,0.03195124547583561,3.0,8.0,14.0,25,2.140941026186928,1.693208430913349,0.4416125270697984,0.5583874729302015,5238.166666666667,13701.875,0.0,0.28903530092592594,119.0,1.0,0.0
stage2__c-0p675__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.675,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.4583333333333333,240.0,99412.70833333333,93.45833333333333,2243,93.45833333333333,0.3894097222222222,0.006241640659830584,2.0445831475702185,0.01703819289641845,1.0,4.0,10.0,34,1.273294694605439,0.7712884529647793,0.3772350632359355,0.6227649367640645,5387.166666666667,23541.75,0.0,0.2742997685185185,119.0,1.0,0.0
stage2__c-0p680__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.68,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.5,240.0,103538.5,101.58333333333333,2438,101.58333333333333,0.4232638888888889,0.006562756357670222,2.068498769483183,0.017237489745693155,1.0,4.0,9.0,25,1.2846595570139459,0.783839212469237,0.37894110648423557,0.6210588935157644,5329.208333333333,22166.25,0.0,0.28495283564814816,119.0,1.0,0.0
stage2__c-0p685__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.685,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.625,240.0,107165.20833333333,103.25,2478,103.25,0.43020833333333336,0.008071025020177562,2.1218724778046814,0.017682270648372307,1.0,4.0,11.0,23,1.3276836158192091,0.7941888619854721,0.37428680106504375,0.6257131989349562,5366.875,22858.75,0.0,0.28333651620370376,119.0,1.0,0.0
stage2__c-0p690__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.69,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.75,240.0,111255.95833333333,110.25,2646,110.25,0.459375,0.008314436885865457,2.1602418745275886,0.018002015621063204,1.0,4.0,11.0,23,1.32010582010582,0.8401360544217688,0.3889083275017495,0.6110916724982505,4455.916666666667,20613.333333333332,0.0,0.2883449074074074,119.0,1.0,0.0
stage2__c-0p695__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.695,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.5833333333333334,240.0,116788.33333333333,115.16666666666667,2764,115.16666666666667,0.4798611111111111,0.006874095513748191,2.240231548480463,0.018668596237337156,2.0,4.0,11.0,23,1.3614327062228655,0.8787988422575976,0.39228036175710596,0.6077196382428941,5471.416666666667,20426.583333333332,0.0,0.28910734953703704,119.0,1.0,0.0
stage2__c-0p700__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.7,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.625,240.0,121262.20833333333,119.875,2877,119.875,0.49947916666666664,0.006951685783802572,2.2829336114007646,0.019024446761673006,2.0,5.0,10.0,33,1.370177267987487,0.9127563434132777,0.3998172959805116,0.6001827040194885,4780.083333333333,21035.958333333332,0.0,0.28394155092592593,119.0,1.0,0.0
stage2__c-0p705__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.705,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.75,240.0,125347.66666666667,126.125,3027,126.125,0.5255208333333333,0.00726792203501817,2.284770399735712,0.019039753331130897,2.0,4.0,10.0,19,1.3980839114634953,0.8866864882722167,0.3880855986119144,0.6119144013880856,4814.708333333333,20243.833333333332,0.0,0.28803356481481485,119.0,1.0,0.0
stage2__c-0p710__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.71,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.5416666666666666,240.0,130825.5,130.54166666666666,3133,130.54166666666666,0.5439236111111111,0.0063836578359399935,2.3999361634216405,0.019999468028513635,2.0,5.0,11.0,30,1.4443025853814235,0.9556335780402171,0.39819124883628143,0.6018087511637186,4508.958333333333,18574.0,0.0,0.29053819444444445,119.0,1.0,0.0
stage2__c-0p715__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.715,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.6666666666666666,240.0,136461.875,135.625,3255,135.625,0.5651041666666666,0.008602150537634409,2.4706605222734255,0.020588837685611844,2.0,5.0,11.0,22,1.4599078341013825,1.010752688172043,0.4091022133797563,0.5908977866202437,4716.708333333333,18134.041666666668,0.0,0.28563310185185187,119.0,1.0,0.0
