scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv,protocol
critical__base0075__c-0p775__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.775,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,227267.66666666666,189.5,4548,189.5,0.7895833333333333,0.02198768689533861,3.567062445030783,0.029725520375256484,3.0,7.0,14.0,24,1.9797713280562885,1.5872911169744943,0.44498551439314554,0.5550144856068545,5140.333333333333,15562.708333333334,0.0,0.3042358217592593,119.0,1.0,0.0,period_end_critical_refined
critical__base0076__c-0p800__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.8,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,277439.9166666667,205.25,4926,205.25,0.8552083333333333,0.03654080389768575,4.210515631343889,0.03508763026119904,3.0,8.0,15.0,30,2.2823792123426716,1.928136419001218,0.4579335615447664,0.5420664384552336,4588.583333333333,14563.791666666666,0.0,0.3023677662037037,119.0,1.0,0.0,period_end_critical_refined
critical__base0077__c-0p825__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.825,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,326671.9166666667,217.66666666666666,5224,217.66666666666666,0.9069444444444444,0.05417304747320061,4.903713629402756,0.04086428024502294,4.0,10.0,16.0,26,2.628445635528331,2.275267993874426,0.4639887574657454,0.5360112425342546,4431.958333333333,13907.083333333334,0.0,0.30296846064814814,119.0,1.0,0.0,period_end_critical_refined
critical__base0078__c-0p850__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.85,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,370679.9583333333,222.29166666666666,5335,222.29166666666666,0.9262152777777778,0.07685098406747891,5.650796626054358,0.04708997188378629,5.0,11.0,17.0,27,2.9756326148078727,2.6751640112464856,0.47341360666069593,0.5265863933393041,5135.125,13324.125,0.0,0.29586805555555556,119.0,1.0,0.0,period_end_critical_refined
critical__base0009__c-0p500__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.5,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.375,240.0,89902.75,84.375,2025,84.375,0.3515625,0.0044444444444444444,1.9165432098765431,0.015971193415637824,1.0,4.0,9.0,27,1.2182716049382716,0.6982716049382716,0.3643390878639526,0.6356609121360474,1673.8333333333333,23671.708333333332,0.27715041804170837,0.2731804690103555,119.0,1.0,0.0,period_end_critical_refined
critical__base0010__c-0p525__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.525,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.7916666666666666,240.0,114330.66666666667,120.16666666666667,2884,120.16666666666667,0.5006944444444444,0.0076282940360610264,2.1955617198335644,0.01829634766527967,1.0,4.0,10.0,26,1.3640776699029127,0.8314840499306518,0.37871130764371447,0.6212886923562856,1206.9166666666667,19386.333333333332,0.2762580334478104,0.28625263971084386,119.0,1.0,0.0,period_end_critical_refined
critical__base0011__c-0p550__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.55,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.9166666666666666,240.0,148906.0,149.70833333333334,3593,149.70833333333334,0.6237847222222223,0.009462844419704982,2.588922905649875,0.021574357547082253,2.0,5.0,11.0,22,1.5552463122738658,1.0336765933760088,0.39926897441410447,0.6007310255858955,2115.625,17098.583333333332,0.2725849070702701,0.2811713300796161,119.0,1.0,0.0,period_end_critical_refined
critical__base0012__c-0p575__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.575,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.7916666666666666,240.0,189634.54166666666,177.58333333333334,4262,177.58333333333334,0.7399305555555555,0.010793054903801032,3.142890661661192,0.02619075551384323,2.0,6.0,12.0,23,1.82238385734397,1.320506804317222,0.42015677491601344,0.5798432250839866,2008.75,15547.416666666666,0.2779584333690675,0.29267449732738554,119.0,1.0,0.0,period_end_critical_refined
critical__base0013__c-0p600__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.6,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.9583333333333334,240.0,239079.58333333334,197.75,4746,197.75,0.8239583333333333,0.017699115044247787,3.731352718078382,0.031094605983986476,3.0,7.0,13.0,21,2.1125158027812896,1.6188369152970923,0.4338471963408436,0.5661528036591563,1468.5833333333333,14761.875,0.26893184850975144,0.2911296461120019,119.0,1.0,0.0,period_end_critical_refined
critical__base0014__c-0p625__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.625,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,275687.0,212.29166666666666,5095,212.29166666666666,0.8845486111111112,0.03493621197252208,4.4314033366045145,0.03692836113837091,4.0,9.0,15.0,26,2.4671246319921494,1.964278704612365,0.44326335370714853,0.5567366462928515,1878.0,13225.708333333334,0.27072161367593023,0.2918666094546524,119.0,1.0,0.0,period_end_critical_refined
critical__base0015__c-0p650__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.65,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,312193.6666666667,221.08333333333334,5306,221.08333333333334,0.9211805555555556,0.04843573313230305,5.001507727101394,0.04167923105917826,4.0,9.0,16.0,26,2.766490765171504,2.2350169619298907,0.4468686411937599,0.5531313588062401,1639.375,12393.666666666666,0.2811828583866056,0.29098692067477555,119.0,1.0,0.0,period_end_critical_refined
critical__base0016__c-0p675__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.675,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,339174.0833333333,224.83333333333334,5396,224.83333333333334,0.9368055555555556,0.0681986656782802,5.565789473684211,0.04638157894736839,5.0,10.0,16.0,25,3.0606004447739066,2.505189028910304,0.4501048846269104,0.5498951153730895,1349.5,12044.166666666666,0.26848055449437375,0.2936836838258731,119.0,1.0,0.0,period_end_critical_refined
critical__base0017__c-0p700__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.7,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,366253.3333333333,229.0,5496,229.0,0.9541666666666667,0.07860262008733625,5.984352256186317,0.04986960213488594,5.0,11.0,17.0,27,3.3205967976710333,2.663755458515284,0.44512009729401036,0.5548799027059896,1497.5833333333333,11449.541666666666,0.2765650471455087,0.2928916804589023,119.0,1.0,0.0,period_end_critical_refined
critical__base0086__c-0p700__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.7,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.75,240.0,120093.375,124.0,2976,124.0,0.5166666666666667,0.008400537634408602,2.225470430107527,0.01854558691756269,2.0,4.0,11.0,20,1.3686155913978495,0.8568548387096774,0.38502189340178167,0.6149781065982183,1675.0,21729.416666666668,0.27664855278132167,0.2864338525734172,119.0,1.0,0.0,period_end_critical_refined
