scenario_id,scenario_base_id,scenario_index,protocol,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_settlements_completed,mean_checks_completed,mean_capped_periods,mean_max_uncapped_period_length_steps,mean_max_period_length_steps,mean_avalanche_count,event_count,events_per_run,events_per_period,event_timestep_rate,event_occupancy,event_period_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_repeat_default_share,mean_unique_default_nodes,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,30,timestep_settle_check,0.1,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,1,0.0,0.0,20.0,349.0,349.0,349.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,349.0,0.0,0.1143541666666667,0.0,0.0,119.0,1.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-er_k6,money-equal__income-uniform__growth-random__spend-high_wealth__topo-er_k6,31,timestep_settle_check,0.1,120,equal,uniform,random,high_wealth,0.04,0.2,er_k6,er,6,1,0.0,0.0,20.0,349.0,349.0,349.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,349.0,0.0,0.1304097222222222,0.0,0.0,6.0,0.0590614478114477,0.4019627769757718
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-er_k12,money-equal__income-uniform__growth-random__spend-high_wealth__topo-er_k12,32,timestep_settle_check,0.1,120,equal,uniform,random,high_wealth,0.04,0.2,er_k12,er,12,1,0.0,0.0,20.0,341.0,341.0,341.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,341.0,0.0,0.1242013888888888,0.0,0.0,12.0,0.0981612051232793,0.2460333461289493
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-uniform__growth-random__spend-high_wealth__topo-er_k24,33,timestep_settle_check,0.1,120,equal,uniform,random,high_wealth,0.04,0.2,er_k24,er,24,1,0.0,0.0,20.0,330.0,330.0,330.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.1251111111111111,0.0,0.0,24.0,0.1999673171140493,0.1822569411369361
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-ba_k6,money-equal__income-uniform__growth-random__spend-high_wealth__topo-ba_k6,34,timestep_settle_check,0.1,120,equal,uniform,random,high_wealth,0.04,0.2,ba_k6,ba,6,1,0.0,0.0,20.0,343.0,343.0,343.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,0.1447708333333333,0.0,0.0,6.0,0.1281653895926341,0.8059386062455607
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-ba_k12,money-equal__income-uniform__growth-random__spend-high_wealth__topo-ba_k12,35,timestep_settle_check,0.1,120,equal,uniform,random,high_wealth,0.04,0.2,ba_k12,ba,12,1,0.0,0.0,20.0,336.0,336.0,336.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.1280972222222223,0.0,0.0,12.0,0.2114780461256766,0.6702162448156676
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-ba_k24,money-equal__income-uniform__growth-random__spend-high_wealth__topo-ba_k24,36,timestep_settle_check,0.1,120,equal,uniform,random,high_wealth,0.04,0.2,ba_k24,ba,24,1,0.0,0.0,20.0,342.0,342.0,342.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,0.1120347222222222,0.0,0.0,24.0,0.2820681852909663,0.4571639121722017
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-sw_k6,money-equal__income-uniform__growth-random__spend-high_wealth__topo-sw_k6,37,timestep_settle_check,0.1,120,equal,uniform,random,high_wealth,0.04,0.2,sw_k6,sw,6,1,0.0,0.0,20.0,342.0,342.0,342.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,0.1238680555555555,0.0,0.0,6.0,0.3882936507936509,0.1394433377556792
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-sw_k12,money-equal__income-uniform__growth-random__spend-high_wealth__topo-sw_k12,38,timestep_settle_check,0.1,120,equal,uniform,random,high_wealth,0.04,0.2,sw_k12,sw,12,1,0.0,0.0,20.0,346.0,346.0,346.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,346.0,0.0,0.1266805555555556,0.0,0.0,12.0,0.5236983155733154,0.0986013297183269
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-sw_k24,money-equal__income-uniform__growth-random__spend-high_wealth__topo-sw_k24,39,timestep_settle_check,0.1,120,equal,uniform,random,high_wealth,0.04,0.2,sw_k24,sw,24,1,0.0,0.0,20.0,341.0,341.0,341.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,341.0,0.0,0.1139375,0.0,0.0,24.0,0.5429988411594058,0.0743412427281813
c-0p10__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,40,timestep_settle_check,0.1,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,1,0.0,0.0,20.0,476.0,476.0,476.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,476.0,0.0,0.1392708333333334,0.0,0.0,119.0,1.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_both__topo-er_k6,money-equal__income-uniform__growth-random__spend-high_both__topo-er_k6,41,timestep_settle_check,0.1,120,equal,uniform,random,high_both,0.04,0.4,er_k6,er,6,1,0.0,0.0,20.0,445.0,445.0,445.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,0.1357291666666666,0.0,0.0,6.0,0.069015429015429,0.4265494630689909
