scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
c-0p80__money-uniform__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k24,money-uniform__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k24,0.8,120,uniform,biased,preferential_debt,high_income,0.02,0.4,ba_k24,ba,24,3,1.0,1.0,120.0,190608.3333333333,120.0,360,120.0,1.0,1.0,60.78055555555556,0.5065046296296296,62.0,68.0,73.0,75,52.15277777777778,8.627777777777778,0.1419496366710845,0.8580503633289155,480.0,28.33333333333333,0.3450520177021987,0.8337496118340392,24.0,0.2913424846214684,0.4706428796638455
c-0p60__money-uniform__income-biased__growth-preferential_debt__spend-high_both__topo-er_k24,money-uniform__income-biased__growth-preferential_debt__spend-high_both__topo-er_k24,0.6,120,uniform,biased,preferential_debt,high_both,0.04,0.4,er_k24,er,24,3,1.0,1.0,120.0,89190.66666666667,120.0,360,120.0,1.0,1.0,60.516666666666666,0.5043055555555556,64.0,69.0,72.41000000000003,75,55.91111111111111,4.605555555555555,0.0761039199485908,0.9238960800514092,360.0,23.666666666666668,0.3683669287147756,0.896546186792043,24.0,0.202272260639463,0.1745564687970897
c-0p70__money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k24,money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k24,0.7,120,lognormal,biased,preferential_debt,high_income,0.02,0.4,ba_k24,ba,24,3,1.0,1.0,120.0,129972.0,120.0,360,120.0,1.0,1.0,59.925,0.499375,62.0,67.0,73.0,76,53.49166666666667,6.433333333333334,0.1073564177444027,0.8926435822555973,420.0,31.666666666666668,0.4875907218569015,0.8753351061154953,24.0,0.2774034001345338,0.4438881237230243
c-0p60__money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-er_k24,money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-er_k24,0.6,120,lognormal,biased,preferential_debt,high_income,0.02,0.4,er_k24,er,24,3,1.0,1.0,120.0,78431.0,120.0,360,120.0,1.0,1.0,59.86944444444445,0.498912037037037,64.0,70.0,74.41000000000003,78,56.46666666666667,3.4027777777777777,0.0568366352711919,0.943163364728808,360.0,30.0,0.5269757961593946,0.9228833918069674,24.0,0.2039979193369183,0.1663685437001529
c-0p80__money-uniform__income-biased__growth-preferential_debt__spend-high_income__topo-er_k6,money-uniform__income-biased__growth-preferential_debt__spend-high_income__topo-er_k6,0.8,120,uniform,biased,preferential_debt,high_income,0.02,0.4,er_k6,er,6,3,1.0,1.0,120.0,211153.3333333333,120.0,360,120.0,1.0,1.0,59.56111111111111,0.4963425925925926,61.0,66.0,69.41000000000003,72,55.375,4.186111111111111,0.0702826228896558,0.9297173771103442,480.0,23.33333333333333,0.3197650000910056,0.780114547968734,6.0,0.0492752771919438,0.3936617991009351
c-0p80__money-uniform__income-biased__growth-random__spend-high_both__topo-ba_k12,money-uniform__income-biased__growth-random__spend-high_both__topo-ba_k12,0.8,120,uniform,biased,random,high_both,0.04,0.4,ba_k12,ba,12,3,1.0,1.0,120.0,30874.0,120.0,360,120.0,1.0,1.0,59.54444444444445,0.4962037037037037,60.0,68.0,72.41000000000003,76,28.819444444444443,30.725,0.5160011196118679,0.4839988803881321,480.0,59.66666666666666,0.3497191228934493,0.973446963246657,12.0,0.1833455626030916,0.6144547512412136
c-0p80__money-lognormal__income-biased__growth-preferential_debt__spend-high_wealth__topo-ba_k24,money-lognormal__income-biased__growth-preferential_debt__spend-high_wealth__topo-ba_k24,0.8,120,lognormal,biased,preferential_debt,high_wealth,0.04,0.2,ba_k24,ba,24,3,1.0,1.0,120.0,90572.33333333331,120.0,360,120.0,1.0,1.0,59.43333333333333,0.4952777777777777,61.0,67.0,71.0,72,54.84444444444444,4.588888888888889,0.0772106935875864,0.9227893064124136,480.0,23.0,0.4978091481293895,0.8822164374524322,24.0,0.2853851736783548,0.4601058504639384
c-0p70__money-uniform__income-biased__growth-random__spend-high_both__topo-ba_k24,money-uniform__income-biased__growth-random__spend-high_both__topo-ba_k24,0.7,120,uniform,biased,random,high_both,0.04,0.4,ba_k24,ba,24,3,1.0,1.0,120.0,27069.33333333333,120.0,360,120.0,1.0,1.0,59.40555555555556,0.4950462962962962,60.5,67.10000000000002,73.0,75,30.05555555555556,29.35,0.4940615355840269,0.5059384644159731,420.0,114.33333333333331,0.3520826159398717,0.9742761438000702,24.0,0.2883584085312841,0.4601880630176966
c-0p80__money-lognormal__income-biased__growth-random__spend-high_wealth__topo-complete,money-lognormal__income-biased__growth-random__spend-high_wealth__topo-complete,0.8,120,lognormal,biased,random,high_wealth,0.04,0.2,complete,complete,0,3,1.0,1.0,120.0,19085.666666666668,120.0,360,120.0,1.0,1.0,59.266666666666666,0.4938888888888888,60.0,67.0,73.41000000000003,81,24.272222222222226,34.99444444444445,0.5904574428196475,0.4095425571803524,480.0,70.66666666666667,0.5216081728002808,0.9848142087945684,119.0,1.0,0.0
c-0p80__money-lognormal__income-biased__growth-random__spend-high_both__topo-sw_k12,money-lognormal__income-biased__growth-random__spend-high_both__topo-sw_k12,0.8,120,lognormal,biased,random,high_both,0.04,0.4,sw_k12,sw,12,3,1.0,1.0,120.0,23866.0,120.0,360,120.0,1.0,1.0,58.458333333333336,0.4871527777777777,59.0,67.0,72.82000000000005,81,22.15,36.30833333333333,0.6210976478973628,0.3789023521026372,480.0,13.666666666666666,0.5144843601992031,0.9899775469442496,12.0,0.4913737034570366,0.0923850904891568
c-0p70__money-lognormal__income-biased__growth-preferential_debt__spend-high_wealth__topo-sw_k12,money-lognormal__income-biased__growth-preferential_debt__spend-high_wealth__topo-sw_k12,0.7,120,lognormal,biased,preferential_debt,high_wealth,0.04,0.2,sw_k12,sw,12,3,1.0,1.0,120.0,50836.333333333336,120.0,360,120.0,1.0,1.0,58.2,0.485,60.5,67.0,74.0,76,55.227777777777774,2.9722222222222223,0.0510691103474608,0.9489308896525392,420.0,23.0,0.5143144346502996,0.9046338205813644,12.0,0.5097996602163269,0.08832141352332
c-0p80__money-lognormal__income-biased__growth-preferential_debt__spend-baseline__topo-sw_k6,money-lognormal__income-biased__growth-preferential_debt__spend-baseline__topo-sw_k6,0.8,120,lognormal,biased,preferential_debt,baseline,0.02,0.2,sw_k6,sw,6,3,1.0,1.0,120.0,64979.0,120.0,360,120.0,1.0,1.0,58.19722222222222,0.4849768518518518,59.0,65.0,68.0,70,55.87222222222222,2.325,0.0399503603646603,0.9600496396353396,480.0,25.666666666666668,0.4945833019735626,0.8656155460449103,6.0,0.4498544973544975,0.1203200560215775
c-0p60__money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-er_k12,money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-er_k12,0.6,120,lognormal,biased,preferential_debt,high_both,0.04,0.4,er_k12,er,12,3,1.0,1.0,120.0,85685.0,120.0,360,120.0,1.0,1.0,58.025,0.4835416666666666,60.0,65.10000000000002,69.41000000000003,72,54.12777777777778,3.897222222222222,0.0671645363588491,0.9328354636411508,360.0,23.666666666666668,0.5017621284695346,0.8590572299590459,12.0,0.1008118167459935,0.2758374611351551
c-0p80__money-lognormal__income-biased__growth-random__spend-high_both__topo-ba_k12,money-lognormal__income-biased__growth-random__spend-high_both__topo-ba_k12,0.8,120,lognormal,biased,random,high_both,0.04,0.4,ba_k12,ba,12,3,1.0,1.0,120.0,26877.33333333333,120.0,360,120.0,1.0,1.0,57.71666666666667,0.4809722222222221,58.0,66.0,70.0,75,24.325,33.391666666666666,0.5785446144961016,0.4214553855038983,480.0,114.33333333333331,0.5052637097069549,0.9797592161994216,12.0,0.1948929721056856,0.6556772219803312
c-0p80__money-lognormal__income-biased__growth-random__spend-high_both__topo-er_k6,money-lognormal__income-biased__growth-random__spend-high_both__topo-er_k6,0.8,120,lognormal,biased,random,high_both,0.04,0.4,er_k6,er,6,3,1.0,1.0,120.0,27931.666666666668,120.0,360,120.0,1.0,1.0,57.63055555555555,0.4802546296296296,58.0,66.0,70.0,75,25.016666666666666,32.61388888888889,0.565913144069022,0.4340868559309779,480.0,26.33333333333333,0.5113342269112048,0.9845250193742804,6.0,0.0549897170730503,0.3601415206903985
