family,scenario_id,scenario_index,n_nodes,money_distribution,control_name,control_value,window,runs,period_count,event_count,runs_with_events,avalanche_occupancy,one_period_wait_fraction,pooled_size_lag1_correlation,mean_event_size,median_event_size,p90_event_size,p95_event_size,p99_event_size,max_event_size,large_event_count,large_event_rate,mean_initial_default_count,mean_propagated_default_count,propagated_default_share,single_initial_default_fraction,mean_active_credit,mean_final_net_worth_gini,mean_period_length_steps,mean_issued_credit,unique_default_nodes_within_runs,total_default_occurrences_within_runs,repeated_default_occurrences_within_runs,repeated_default_share
income,income__N200__c0p06__lognormal__biased__random,4,200,lognormal,c,0.06,early,12,4800,2507,12,0.5222916666666667,0.5615230460921844,0.06721843237416082,1.5281212604706822,1.0,3.0,3.0,4.0,8,0,0.0,1.385719984044675,0.14240127642600717,0.09318715740015662,0.6876745113681692,804.063125,0.6236917394435926,6.443333333333333,6.443333333333333,967,3831,2864,0.7475854868180631
income,income__N200__c0p06__lognormal__biased__random,4,200,lognormal,c,0.06,late,12,4800,3994,12,0.8320833333333333,0.8568558513309894,0.12062808474502458,2.385578367551327,2.0,4.0,5.0,7.0,11,0,0.0,2.0873810716074113,0.29819729594391586,0.125,0.37080620931397096,1497.6922916666667,0.8040122836627785,6.255208333333333,6.255208333333333,1581,9528,7947,0.8340680100755667
income,income__N200__c0p06__pareto__biased__random,5,200,pareto,c,0.06,early,12,4800,1174,12,0.24458333333333335,0.3743545611015491,0.049962105172359196,1.409710391822828,1.0,2.0,3.0,5.0,8,0,0.0,1.2350936967632027,0.1746166950596252,0.12386706948640483,0.7947189097103918,1063.5060416666668,0.5177952052512477,6.6120833333333335,6.6120833333333335,612,1655,1043,0.6302114803625377
income,income__N200__c0p06__pareto__biased__random,5,200,pareto,c,0.06,late,12,4800,4030,12,0.8395833333333333,0.8446988551518169,0.058871321858820526,2.192555831265509,2.0,4.0,5.0,7.0,11,0,0.0,1.9297766749379652,0.26277915632754345,0.11985061113626075,0.4044665012406948,1858.7572916666666,0.7953284665983806,6.333541666666667,6.333541666666667,1511,8836,7325,0.8289950203712086
income,income__N200__c0p08__lognormal__biased__random,6,200,lognormal,c,0.08,early,12,4800,3704,12,0.7716666666666666,0.800650054171181,0.10067951281676527,2.163606911447084,2.0,4.0,5.0,6.0,10,0,0.0,1.955183585313175,0.2084233261339093,0.0963314200149738,0.4265658747300216,918.3577083333333,0.6657543787472949,9.156875,9.156875,1243,8014,6771,0.8448964312453207
income,income__N200__c0p08__lognormal__biased__random,6,200,lognormal,c,0.08,late,12,4800,4786,12,0.9970833333333333,0.9970674486803519,0.31953736284438844,6.525491015461763,7.0,9.0,10.0,12.0,19,0,0.0,5.474508984538237,1.050982030923527,0.16105792321731613,0.013790221479314668,519.5870833333333,0.9419405840373113,8.825,8.825,2167,31231,29064,0.9306138131984246
income,income__N200__c0p08__pareto__biased__random,7,200,pareto,c,0.08,early,12,4800,2005,12,0.41770833333333335,0.6056196688409433,0.0650204233453656,1.7042394014962594,1.0,3.0,4.0,5.0,11,0,0.0,1.510224438902743,0.19401496259351622,0.1138425519461516,0.6239401496259351,1245.0789583333333,0.5553516222300193,9.067291666666666,9.067291666666666,917,3417,2500,0.7316359379572724
income,income__N200__c0p08__pareto__biased__random,7,200,pareto,c,0.08,late,12,4800,4794,12,0.99875,0.998745294855709,0.22349772393948536,6.541718815185649,7.0,9.0,10.0,11.0,14,0,0.0,5.481435127242387,1.0602836879432624,0.16208029080705336,0.006257822277847309,521.1347916666666,0.9461048255571416,8.892291666666667,8.892291666666667,2181,31361,29180,0.9304550237556201
income,income__N200__c0p10__lognormal__biased__random,8,200,lognormal,c,0.1,early,12,4800,4325,12,0.9010416666666666,0.9209367029909575,0.3738621337803064,3.547514450867052,3.0,6.0,7.0,9.0,12,0,0.0,3.2004624277456646,0.3470520231213873,0.0978296291468422,0.19676300578034683,929.8320833333333,0.7177615027085364,12.310833333333333,12.310833333333333,1510,15343,13833,0.9015837841360881
income,income__N200__c0p10__lognormal__biased__random,8,200,lognormal,c,0.1,late,12,4800,4800,12,1.0,1.0,0.2551193209172743,10.2525,10.0,13.0,14.0,16.0,20,1,0.00020833333333333335,7.533333333333333,2.7191666666666667,0.26521986507355927,0.0,182.059375,0.978719093021774,11.667708333333334,11.667708333333334,2315,49212,46897,0.9529586279769162
income,income__N200__c0p10__pareto__biased__random,9,200,pareto,c,0.1,early,12,4800,2992,12,0.6233333333333333,0.8080536912751678,0.216875527491811,2.4558823529411766,2.0,5.0,5.0,7.0,15,0,0.0,2.177807486631016,0.27807486631016043,0.11322808927599347,0.37366310160427807,1286.7791666666667,0.633933552770668,11.687083333333334,11.687083333333334,1231,7348,6117,0.8324714207947741
income,income__N200__c0p10__pareto__biased__random,9,200,pareto,c,0.1,late,12,4800,4800,12,1.0,1.0,-0.08226520104250544,9.984166666666667,10.0,12.0,13.0,14.0,18,0,0.0,6.989791666666667,2.994375,0.2999123612386278,0.0,93.68041666666667,0.9843932997804989,10.983541666666667,10.983541666666667,2344,47924,45580,0.9510892246056256
income,income__N200__c0p12__lognormal__biased__random,10,200,lognormal,c,0.12,early,12,4800,4507,12,0.9389583333333333,0.9519466073414905,0.5070114193836559,5.015753272686932,5.0,9.0,10.0,12.0,19,0,0.0,4.473263811848236,0.5424894608386953,0.1081571264266124,0.1045041047259818,904.494375,0.7600179821880003,14.785625,14.785625,1712,22606,20894,0.9242678934796071
income,income__N200__c0p12__lognormal__biased__random,10,200,lognormal,c,0.12,late,12,4800,4800,12,1.0,1.0,0.06400365327378042,12.432916666666667,13.0,15.0,16.0,18.0,27,6,0.00125,8.03625,4.3966666666666665,0.35363115385904353,0.0,99.47645833333333,0.9871508818568162,13.693125,13.693125,2352,59678,57326,0.9605884915714333
income,income__N200__c0p12__pareto__biased__random,11,200,pareto,c,0.12,early,12,4800,3232,12,0.6733333333333333,0.8590062111801242,0.3592342952313175,3.234839108910891,3.0,6.0,7.0,9.0,14,0,0.0,2.883972772277228,0.35086633663366334,0.10846484935437589,0.2682549504950495,1468.1125,0.6133055845570231,14.358333333333333,14.358333333333333,1335,10455,9120,0.8723098995695839
income,income__N200__c0p12__pareto__biased__random,11,200,pareto,c,0.12,late,12,4800,4800,12,1.0,1.0,-0.13182027292443033,11.993541666666667,12.0,14.0,15.0,17.0,22,2,0.0004166666666666667,7.952916666666667,4.040625,0.3369000677447932,0.0,89.631875,0.9841922927227229,13.155833333333334,13.155833333333334,2351,57569,55218,0.9591620490194376
income,income__N200__c0p14__lognormal__biased__random,12,200,lognormal,c,0.14,early,12,4800,4624,12,0.9633333333333334,0.9698612315698178,0.6295662481325872,6.920415224913495,7.0,12.0,13.0,16.0,20,2,0.00043252595155709344,6.088019031141869,0.8323961937716263,0.12028125,0.06812283737024222,865.969375,0.7889243498948872,17.553333333333335,17.553333333333335,1883,32000,30117,0.94115625
income,income__N200__c0p14__lognormal__biased__random,12,200,lognormal,c,0.14,late,12,4800,4800,12,1.0,1.0,-0.02460068480995676,14.448958333333334,15.0,17.0,18.0,20.0,25,100,0.020833333333333332,8.125833333333333,6.323125,0.43761805205104176,0.0,64.656875,0.9895515945015562,15.80375,15.80375,2364,69355,66991,0.9659144978732608
